measure,grok_n,grok_pct,grok_ci_low,grok_ci_high,claude_n,claude_pct,claude_ci_low,claude_ci_high,delta_pp,discordant_grok_only,discordant_claude_only,mcnemar_p
stage_A_ambiguity,103,45.575221238938056,39.210073207333785,52.08827648881669,66,29.20353982300885,23.66247780513322,35.43976576677401,-16.371681415929203,39,2,7.839844329282641e-10
stage_B_ambiguity,95,42.0353982300885,35.78562437177219,48.55140508129867,64,28.31858407079646,22.845003515073177,34.516909996064136,-13.716814159292035,35,4,3.353161446284503e-07
stage_C_ambiguity,86,38.05309734513274,31.97279084548756,44.532753334118716,65,28.761061946902654,23.25340704016044,34.97867150136183,-9.29203539823009,29,8,0.0007528970600105822
title_resolution,16,7.079646017699115,4.404435946131394,11.189556106528206,9,3.982300884955752,2.1090120102432834,7.393824829721648,-3.0973451327433628,12,5,0.143463134765625
structure_resolution,12,5.3097345132743365,3.0631511662152837,9.050180764904505,7,3.0973451327433628,1.5082968162801498,6.254209962914878,-2.2123893805309733,12,7,0.359283447265625
final_ambiguous_after_C,86,38.05309734513274,31.97279084548756,44.532753334118716,65,28.761061946902654,23.25340704016044,34.97867150136183,-9.29203539823009,29,8,0.0007528970600105822
reversal_after_titles,0,0.0,0.0,1.6713515665003582,0,0.0,0.0,1.6713515665003582,0.0,0,0,1.0
reversal_after_structure,0,0.0,0.0,1.6713515665003582,0,0.0,0.0,1.6713515665003582,0.0,0,0,1.0
