model,transition,n,nli1_disagree,nli2_disagree,nli1_weak,nli2_weak
gpt-5.4,correct_to_correct,8754,0.22595384966872287,0.26182316655243315,0.21807173863376741,0.2530271875713959
gpt-5.4,wrong_to_correct,850,0.31529411764705884,0.3811764705882353,0.3058823529411765,0.37176470588235294
gpt-5.4,wrong_to_wrong,281,0.7580071174377224,0.7437722419928826,0.7402135231316725,0.7366548042704626
gpt-5.4,correct_to_wrong,115,0.7478260869565218,0.6782608695652174,0.7391304347826086,0.6608695652173913
gpt-5.4-mini,correct_to_correct,8316,0.2255892255892256,0.2594997594997595,0.21753246753246752,0.25144300144300147
gpt-5.4-mini,wrong_to_correct,1238,0.2770597738287561,0.3360258481421648,0.2681744749596123,0.3222940226171244
gpt-5.4-mini,wrong_to_wrong,295,0.711864406779661,0.7389830508474576,0.7016949152542373,0.7322033898305085
gpt-5.4-mini,correct_to_wrong,151,0.7682119205298014,0.7350993377483444,0.7549668874172185,0.7152317880794702
