feature,coef,abs_coef
jaccard_content,-1.3269366514252416,1.3269366514252416
cosine_sim_claim_evidence,1.133418519927978,1.133418519927978
claim_has_date_evidence_no_date,0.8723643847568164,0.8723643847568164
nli_contradiction,-0.5508392866447359,0.5508392866447359
claim_comparative,-0.5166323018398262,0.5166323018398262
claim_evidence_len_ratio,-0.4977124078747572,0.4977124078747572
nli_entailment,-0.4927221642138666,0.4927221642138666
claim_negation,0.4436449824942619,0.4436449824942619
gold_label_refuted,0.33901484260918385,0.33901484260918385
nli_neutral,0.22850649839405696,0.22850649839405696
claim_modals,-0.17087025537499737,0.17087025537499737
numerical_overlap,-0.13632030368490516,0.13632030368490516
evidence_negation,0.12427924013364769,0.12427924013364769
lexical_overlap,-0.12361997997449271,0.12361997997449271
claim_numbers,0.12249557630930773,0.12249557630930773
claim_person_org_entities,0.10208319211306946,0.10208319211306946
n_evidence_pages,0.10126203796905608,0.10126203796905608
evidence_set_size,0.10126203796905608,0.10126203796905608
n_evidence_sentences,0.10126203796905608,0.10126203796905608
claim_len_words,0.08299102026445228,0.08299102026445228
claim_dates,-0.08152819652714477,0.08152819652714477
claim_conjunctions,0.08117717920898194,0.08117717920898194
claim_entity_count,0.06564379715268831,0.06564379715268831
evidence_entity_count,-0.06421771699391358,0.06421771699391358
claim_pronouns,0.019707290606007538,0.019707290606007538
entity_overlap,0.01233673117773663,0.01233673117773663
evidence_numbers,0.007799990120155003,0.007799990120155003
evidence_len_words,0.004945214232707666,0.004945214232707666
