model,feature,kw_p,kw_h,n,mean_correct_to_correct,mean_wrong_to_correct,mean_wrong_to_wrong,mean_correct_to_wrong,kw_p_bh
gpt-5.4,evidence_set_size,0.03924344162687008,8.353524374876462,10000,1.109778387023075,1.1376470588235295,1.1565836298932384,1.1304347826086956,0.053701551699927484
gpt-5.4,n_evidence_sentences,0.03924344162687008,8.353524374876462,10000,1.109778387023075,1.1376470588235295,1.1565836298932384,1.1304347826086956,0.053701551699927484
gpt-5.4,n_evidence_pages,0.03924344162687008,8.353524374876462,10000,1.109778387023075,1.1376470588235295,1.1565836298932384,1.1304347826086956,0.053701551699927484
gpt-5.4,evidence_len_words,0.24984874153864792,4.109804461590939,10000,28.905757368060314,28.584705882352942,31.177935943060497,30.582608695652173,0.2887141013335487
gpt-5.4,claim_len_words,3.2952049892185057e-12,56.49416664997489,10000,8.269019876627826,8.890588235294118,9.12099644128114,9.269565217391305,1.3180819956874023e-11
gpt-5.4,claim_evidence_len_ratio,0.0001466066573817549,20.306965305472843,10000,0.35020393668985417,0.3896491918449516,0.3689541847936226,0.3737246226072276,0.0003465248265386934
gpt-5.4,claim_negation,6.887167450733219e-05,21.88663367156076,10000,0.05677404615033128,0.029411764705882353,0.09252669039145907,0.017391304347826087,0.000188490898651646
gpt-5.4,claim_comparative,0.009470468820133453,11.462543408074767,10000,0.0415809915467215,0.06352941176470588,0.03914590747330961,0.06086956521739131,0.015885947698288373
gpt-5.4,claim_numbers,2.3570812850529035e-32,150.22432769063244,10000,0.24537354352296092,0.49176470588235294,0.3167259786476868,0.30434782608695654,2.042803780379183e-31
gpt-5.4,claim_dates,4.678197107903452e-25,116.36555386465668,10000,0.1649531642677633,0.34352941176470586,0.19217081850533807,0.14782608695652175,3.0408281201372438e-24
gpt-5.4,claim_pronouns,0.1722371238170353,4.993998604173097,10000,0.054946310258167694,0.07647058823529412,0.0711743772241993,0.0782608695652174,0.2035529645110417
gpt-5.4,claim_modals,0.0031919310449309317,13.798989795534016,10000,0.012679917751884852,0.02588235294117647,0.028469750889679714,0.017391304347826087,0.005927871940586016
gpt-5.4,claim_conjunctions,0.00236495056038818,14.43868632309904,10000,0.05894448252227553,0.0611764705882353,0.08185053380782918,0.14782608695652175,0.0045547195977846434
gpt-5.4,evidence_negation,0.16774285465168895,5.055990532262428,10000,0.022503998172264107,0.02235294117647059,0.05338078291814947,0.017391304347826087,0.20285182422994943
gpt-5.4,evidence_numbers,1.3720830349310198e-10,48.89688847231069,10000,1.4564770390678548,1.8423529411764705,1.5622775800711743,1.4782608695652173,4.756554521094201e-10
gpt-5.4,lexical_overlap,0.3268098730273658,3.4537533637974023,10000,0.5998496197171761,0.5919568340156576,0.5936865378591357,0.5468159376855029,0.3615768807962345
gpt-5.4,jaccard_content,0.0012804273605107124,15.742604334450021,10000,0.18317081128918578,0.1986915971796024,0.19103592271458408,0.1851020787858045,0.002560854721021425
gpt-5.4,numerical_overlap,1.9184808430310444e-22,104.22456242242927,10000,0.9190274921940447,0.8280392156862744,0.8944246737841044,0.908695652173913,9.97610038376143e-22
gpt-5.4,claim_entity_count,6.792549708392295e-16,73.72644484727132,10000,1.5102810143934202,1.7741176470588236,1.697508896797153,1.5217391304347827,2.9434382069699942e-15
gpt-5.4,evidence_entity_count,0.6879706283312796,1.4753520816979746,10000,4.728352753027187,4.863529411764706,4.7437722419928825,4.660869565217391,0.7154894534645309
gpt-5.4,entity_overlap,0.4055165737913863,2.911221555084905,10000,0.3500076155662173,0.32064705882352934,0.3673190984578885,0.35681159420289854,0.43034411912555276
gpt-5.4,cosine_sim_claim_evidence,0.08881905674934387,6.521484375,10000,0.6128398180007935,0.6133883595466614,0.6344085335731506,0.5894059538841248,0.11546477377414703
gpt-5.4,nli_entailment,0.005653076180273819,12.57456491322223,10000,0.3417542028478656,0.1993139948490684,0.2739864135927782,0.2459571039228847,0.009798665379141286
gpt-5.4,nli_contradiction,0.00011560019062051691,20.804325845639987,10000,0.48453074998195467,0.542641194611026,0.44234409579966594,0.3095064235788216,0.0002862480910603276
gpt-5.4,nli_neutral,1.3571397609541977e-40,188.39353184320186,10000,0.17371504672637994,0.258044808675434,0.28366948911200673,0.44453647321636747,2.3523755856539424e-39
gpt-5.4,nli_disagrees_with_fever,9.340615350706885e-125,577.0873967149258,10000,0.22595384966872287,0.31529411764705884,0.7580071174377224,0.7478260869565218,4.8571199823675806e-123
gpt-5.4-mini,evidence_set_size,0.020290216274348107,9.80589840514893,10000,1.1114718614718615,1.1122778675282714,1.176271186440678,1.1258278145695364,0.03014546417903147
gpt-5.4-mini,n_evidence_sentences,0.020290216274348107,9.80589840514893,10000,1.1114718614718615,1.1122778675282714,1.176271186440678,1.1258278145695364,0.03014546417903147
gpt-5.4-mini,n_evidence_pages,0.020290216274348107,9.80589840514893,10000,1.1114718614718615,1.1122778675282714,1.176271186440678,1.1258278145695364,0.03014546417903147
gpt-5.4-mini,evidence_len_words,0.0007301525940307763,16.931178725820917,10000,29.006613756613756,27.835218093699517,31.56949152542373,30.62251655629139,0.0015187173955840147
gpt-5.4-mini,claim_len_words,6.43884101454083e-11,50.43990902322744,10000,8.265392015392015,8.703554119547658,9.203389830508474,8.927152317880795,2.3915695196865945e-10
gpt-5.4-mini,claim_evidence_len_ratio,4.879021487701447e-07,32.14450630803723,10000,0.34950329146909465,0.3854916578705267,0.36097374789350806,0.3532863076075748,1.4094950964470845e-06
gpt-5.4-mini,claim_negation,0.00987026614350418,11.37311841183042,10000,0.05206830206830207,0.07269789983844911,0.0711864406779661,0.039735099337748346,0.016039182483194293
gpt-5.4-mini,claim_comparative,0.00017669588091282965,19.915858020438893,10000,0.04040404040404041,0.06704361873990307,0.03728813559322034,0.039735099337748346,0.0003994863394550931
gpt-5.4-mini,claim_numbers,1.762417421819646e-37,173.97666081385137,10000,0.2356902356902357,0.46122778675282716,0.3220338983050847,0.423841059602649,2.2911426483655397e-36
gpt-5.4-mini,claim_dates,7.493836246444227e-32,147.89559664367314,10000,0.15800865800865802,0.32148626817447495,0.20677966101694914,0.2251655629139073,5.566849783072854e-31
gpt-5.4-mini,claim_pronouns,0.265777537356607,3.9603502656196934,10000,0.055435305435305435,0.06785137318255251,0.07457627118644068,0.052980132450331126,0.3004441726639905
gpt-5.4-mini,claim_modals,0.09424406610323843,6.38658919302325,10000,0.013107263107263107,0.0210016155088853,0.013559322033898305,0.026490066225165563,0.11952905944800972
