feature,coef,abs_coef
gold_label_refuted,1.081690038490758,1.081690038490758
claim_negation,-0.764044970004927,0.764044970004927
claim_has_date_evidence_no_date,-0.6795454180841678,0.6795454180841678
nli_contradiction,-0.6682772950119354,0.6682772950119354
nli_entailment,-0.4674779545153019,0.4674779545153019
claim_modals,0.46278843698148725,0.46278843698148725
lexical_overlap,0.39083918944250445,0.39083918944250445
jaccard_content,0.31103432884162185,0.31103432884162185
nli_neutral,0.30905853267886096,0.30905853267886096
claim_comparative,0.28909165048782154,0.28909165048782154
claim_numbers,0.26989984762070585,0.26989984762070585
claim_pronouns,0.24341636497355026,0.24341636497355026
claim_dates,0.21903159483057463,0.21903159483057463
claim_evidence_len_ratio,0.15883310995729774,0.15883310995729774
numerical_overlap,-0.13968273037461262,0.13968273037461262
entity_overlap,-0.12746947537397096,0.12746947537397096
claim_entity_count,0.11069930934702658,0.11069930934702658
n_evidence_pages,0.09064639856481513,0.09064639856481513
evidence_set_size,0.09064639856481513,0.09064639856481513
n_evidence_sentences,0.09064639856481513,0.09064639856481513
cosine_sim_claim_evidence,0.06116111449299701,0.06116111449299701
evidence_numbers,0.05834763779922834,0.05834763779922834
claim_conjunctions,-0.05028160495108802,0.05028160495108802
evidence_negation,0.03499335538810281,0.03499335538810281
claim_person_org_entities,0.02650439989934878,0.02650439989934878
evidence_len_words,-0.005865402670073871,0.005865402670073871
evidence_entity_count,-0.003859355075079767,0.003859355075079767
claim_len_words,-0.0010582273572431501,0.0010582273572431501
