feature,coef,abs_coef
jaccard_content,1.8947235894976526,1.8947235894976526
claim_evidence_len_ratio,-1.6802685848376808,1.6802685848376808
lexical_overlap,-1.432733481224532,1.432733481224532
gold_label_refuted,-1.2116400867897084,1.2116400867897084
nli_neutral,1.091648616453668,1.091648616453668
claim_dates,-0.8129808429939551,0.8129808429939551
evidence_negation,-0.8058840653211399,0.8058840653211399
claim_negation,-0.7900658167182786,0.7900658167182786
claim_numbers,0.6383394683310954,0.6383394683310954
claim_conjunctions,0.4719895636259889,0.4719895636259889
entity_overlap,0.46262176932336735,0.46262176932336735
nli_entailment,-0.44990369561609217,0.44990369561609217
cosine_sim_claim_evidence,-0.32155293897311876,0.32155293897311876
claim_pronouns,-0.317641680980146,0.317641680980146
claim_has_date_evidence_no_date,0.2160466795343589,0.2160466795343589
claim_modals,-0.19841887146757323,0.19841887146757323
numerical_overlap,0.1746791942073634,0.1746791942073634
claim_entity_count,-0.13954627075622486,0.13954627075622486
claim_comparative,0.07824570618676661,0.07824570618676661
claim_len_words,0.07457655084683157,0.07457655084683157
evidence_entity_count,-0.0683858587998861,0.0683858587998861
evidence_numbers,0.057234122979754,0.057234122979754
nli_contradiction,0.04138928101254557,0.04138928101254557
claim_person_org_entities,0.03160758764414276,0.03160758764414276
evidence_set_size,-0.006540481918874727,0.006540481918874727
n_evidence_pages,-0.006540481918874727,0.006540481918874727
n_evidence_sentences,-0.006540481918874727,0.006540481918874727
evidence_len_words,0.0029641722989256158,0.0029641722989256158
